,Company,Segment,Segment Description,text,Predicted
2099,woodward inc.,Aerospace,"Provides aircraft controls, engine systems, sensors, and electrical power systems for commercial and military aircraft.","woodward inc. Aerospace Provides aircraft controls, engine systems, sensors, and electrical power systems for commercial and military aircraft.",Transport Solutions
6421,alpine 4 holdings inc.,Manufacturing & Materials,"Produces industrial materials and parts, offers metal fabrication and machining","alpine 4 holdings inc. Manufacturing & Materials Produces industrial materials and parts, offers metal fabrication and machining",Environmental Services & Resources
3328,big lots inc.,Consumables,"This segment includes cleaning supplies, paper products, health and beauty, pet supplies, baby products, hardware, automotive, and seasonal merchandise.","big lots inc. Consumables This segment includes cleaning supplies, paper products, health and beauty, pet supplies, baby products, hardware, automotive, and seasonal merchandise.",Not Applicable
3470,audiocodes ltd.,MaintenanceAndSupport,"AudioCodes provides ongoing maintenance services and technical support for their products and solutions. This includes software updates, bug fixes, technical assistance and hardware replacement.","audiocodes ltd. MaintenanceAndSupport AudioCodes provides ongoing maintenance services and technical support for their products and solutions. This includes software updates, bug fixes, technical assistance and hardware replacement.",Digital Infrastructure
1688,russel metals inc.,Metals service centers,"Operates a network of metals service centers in Canada and the US that distribute steel, aluminum, alloy, stainless steel and other metal products.","russel metals inc. Metals service centers Operates a network of metals service centers in Canada and the US that distribute steel, aluminum, alloy, stainless steel and other metal products.",Not Applicable
745,xylem inc.,Applied Water,"Offers equipment and services for the industrial, residential and commercial building services markets","xylem inc. Applied Water Offers equipment and services for the industrial, residential and commercial building services markets",Water Infrastructure & Technologies
4624,agenus inc.,Vaccines,"Develops therapeutic vaccines for infectious diseases and cancers, such as Prophage and AutoSynVax vaccines","agenus inc. Vaccines Develops therapeutic vaccines for infectious diseases and cancers, such as Prophage and AutoSynVax vaccines",Not Applicable
6236,associated banc-corp,Mortgage Banking,Originates residential mortgage loans through their network of loan production offices,associated banc-corp Mortgage Banking Originates residential mortgage loans through their network of loan production offices,Not Applicable
2187,ngl energy partners lp,Liquids Logistics,"Transportation, storage, and packaging of NGLs and refined products","ngl energy partners lp Liquids Logistics Transportation, storage, and packaging of NGLs and refined products",Not Applicable
195,evonik industries ag,Services,"Provides site management, logistics, and technology services","evonik industries ag Services Provides site management, logistics, and technology services",Energy Management & Efficiency
3936,broadridge financial solutions inc.,Corporate Issuer Solutions,"Provides public company services including virtual shareholder meetings, interim financial reporting and XBRL filing","broadridge financial solutions inc. Corporate Issuer Solutions Provides public company services including virtual shareholder meetings, interim financial reporting and XBRL filing",Not Applicable
4386,kongsberg gruppen asa,Property,Owns and operates real estate and property,kongsberg gruppen asa Property Owns and operates real estate and property,Alternative Energy
6546,evercore inc.,Wealth Management,"Provides investment management services for high net worth individuals, foundations, and endowments.","evercore inc. Wealth Management Provides investment management services for high net worth individuals, foundations, and endowments.",Not Applicable
802,accuray incorporated,Radiation Oncology,Provides radiation therapy solutions including the CyberKnife and TomoTherapy Systems for the treatment of cancer and other diseases.,accuray incorporated Radiation Oncology Provides radiation therapy solutions including the CyberKnife and TomoTherapy Systems for the treatment of cancer and other diseases.,Not Applicable
4141,csb bancorp inc.,Mortgage Banking,Originates and sells residential mortgage loans,csb bancorp inc. Mortgage Banking Originates and sells residential mortgage loans,Not Applicable
2350,emergent biosolutions inc.,Antibody Therapeutics,"Develops antibody therapies targeting opioid overdoses, post-transplant complications, and infectious diseases like anthrax. Key products include Narcan nasal spray for opioid overdose and Anthim for anthrax infections.","emergent biosolutions inc. Antibody Therapeutics Develops antibody therapies targeting opioid overdoses, post-transplant complications, and infectious diseases like anthrax. Key products include Narcan nasal spray for opioid overdose and Anthim for anthrax infections.",Not Applicable
4376,huron consulting group inc.,Higher Education,"Offers consulting services to universities and colleges aimed at organizational effectiveness, technology, research enterprise solutions, financial health, and student lifecycle management.","huron consulting group inc. Higher Education Offers consulting services to universities and colleges aimed at organizational effectiveness, technology, research enterprise solutions, financial health, and student lifecycle management.",Not Applicable
2068,century communities inc.,Financial services,Offers mortgage financing services to home buyers through its mortgage subsidiaries,century communities inc. Financial services Offers mortgage financing services to home buyers through its mortgage subsidiaries,Not Applicable
5233,bellring brands inc.,Ready-to-Drink Protein Shakes,"Manufactures and sells ready-to-drink protein shakes, protein powder, and other protein supplements under the Premier Protein and Dymatize brands","bellring brands inc. Ready-to-Drink Protein Shakes Manufactures and sells ready-to-drink protein shakes, protein powder, and other protein supplements under the Premier Protein and Dymatize brands",Sustainable Food & Agriculture
644,efg international ag,Brokerage,"Offers brokerage and execution services for securities, derivatives and foreign exchange.","efg international ag Brokerage Offers brokerage and execution services for securities, derivatives and foreign exchange.",Not Applicable
6166,greenyard nv,Fresh,"Provides fresh fruit and vegetables including tomatoes, berries, mushrooms, and more to retailers across Europe.","greenyard nv Fresh Provides fresh fruit and vegetables including tomatoes, berries, mushrooms, and more to retailers across Europe.",Sustainable Food & Agriculture
5075,camtek ltd.,LED and Compound Semiconductor Industries,Offers process control solutions for LED and compound semiconductor manufacturers,camtek ltd. LED and Compound Semiconductor Industries Offers process control solutions for LED and compound semiconductor manufacturers,Energy Management & Efficiency
5017,sulzer ltd,Pumps Equipment,"Manufactures and sells centrifugal pumps and pump systems, for water, oil and gas, power, chemical and other industrial applications.","sulzer ltd Pumps Equipment Manufactures and sells centrifugal pumps and pump systems, for water, oil and gas, power, chemical and other industrial applications.",Water Infrastructure & Technologies
4701,coastal financial corporation,Consumer Banking,"Consumer banking provides banking services like checking and savings accounts, mortgages, personal loans, debit/credit cards to retail customers.","coastal financial corporation Consumer Banking Consumer banking provides banking services like checking and savings accounts, mortgages, personal loans, debit/credit cards to retail customers.",Not Applicable
120,akva group asa,Nets,"Manufactures and provides nets, ropes and mooring for fish farming.","akva group asa Nets Manufactures and provides nets, ropes and mooring for fish farming.",Sustainable Food & Agriculture
1777,oppenheimer holdings inc.,Asset Management,"Offers investment management services for individuals, institutions and investment companies through separately managed accounts and mutual funds.","oppenheimer holdings inc. Asset Management Offers investment management services for individuals, institutions and investment companies through separately managed accounts and mutual funds.",Not Applicable
4787,california water service group,Wastewater systems,Operates wastewater systems for the City of King and the Lakeland Village Community Services District in California.,california water service group Wastewater systems Operates wastewater systems for the City of King and the Lakeland Village Community Services District in California.,Water Infrastructure & Technologies
5444,amedisys inc.,Corporate,"Centralized administrative operations including executive leadership, accounting, legal, human resources, IT and other support functions.","amedisys inc. Corporate Centralized administrative operations including executive leadership, accounting, legal, human resources, IT and other support functions.",Not Applicable
2135,stifel financial corp.,Asset Management,"Provides asset management solutions for institutions, financial advisors, and individuals including equity, fixed income, and alternative investment strategies.","stifel financial corp. Asset Management Provides asset management solutions for institutions, financial advisors, and individuals including equity, fixed income, and alternative investment strategies.",Not Applicable
5404,genting singapore limited,Hospitality,"Owns and operates hotels, restaurants, MICE facilities at its integrated resorts.","genting singapore limited Hospitality Owns and operates hotels, restaurants, MICE facilities at its integrated resorts.",Not Applicable
4119,cal-maine foods inc.,Feed,Manufactures and distributes animal feed,cal-maine foods inc. Feed Manufactures and distributes animal feed,Sustainable Food & Agriculture
134,the japan steel works ltd.,Power Generation Equipment,"Manufactures and sells power generation equipment like turbines, boilers, etc.","the japan steel works ltd. Power Generation Equipment Manufactures and sells power generation equipment like turbines, boilers, etc.",Alternative Energy
5982,brookdale senior living inc.,Management Services,Provides management services to third parties.,brookdale senior living inc. Management Services Provides management services to third parties.,Not Applicable
5492,biodelivery sciences international inc.,Other pain products,Other pain products in development including buprenorphine depot injection for chronic pain.,biodelivery sciences international inc. Other pain products Other pain products in development including buprenorphine depot injection for chronic pain.,Not Applicable
2858,luzerner kantonalbank ag,Corporate & Institutional Banking,"Provides services like trade finance, cash management, lending, advisory to large corporations and institutional clients","luzerner kantonalbank ag Corporate & Institutional Banking Provides services like trade finance, cash management, lending, advisory to large corporations and institutional clients",Not Applicable
62,adlink technology inc.,High Performance Computing,"Provides GPU computing platforms and cluster solutions optimized for high performance computing, deep learning and AI.","adlink technology inc. High Performance Computing Provides GPU computing platforms and cluster solutions optimized for high performance computing, deep learning and AI.",Not Applicable
5722,morgan sindall group plc,Investments,"Operates property management and investments in sectors like healthcare, education, defense, custodial, and commercial spaces.","morgan sindall group plc Investments Operates property management and investments in sectors like healthcare, education, defense, custodial, and commercial spaces.",Not Applicable
5897,proassurance corporation,Healthcare Professional Liability Insurance,"Provides medical professional liability insurance to physicians, dentists, other healthcare providers and facilities.","proassurance corporation Healthcare Professional Liability Insurance Provides medical professional liability insurance to physicians, dentists, other healthcare providers and facilities.",Not Applicable
6021,matrix service company,Industrial Systems,"Designs, builds and maintains industrial plants, refineries, oil platforms","matrix service company Industrial Systems Designs, builds and maintains industrial plants, refineries, oil platforms",Energy Management & Efficiency
3107,icf international inc.,Transportation & Infrastructure,"Offers planning, engineering, construction management, and program management services for transportation infrastructure.","icf international inc. Transportation & Infrastructure Offers planning, engineering, construction management, and program management services for transportation infrastructure.",Transport Solutions
679,rockwell automation inc.,Architecture & Software,Industrial automation and information software and services,rockwell automation inc. Architecture & Software Industrial automation and information software and services,Digital Infrastructure
4904,c3.ai inc.,Enterprise AI Software,"Develops and markets software for building enterprise AI applications. Focus areas include predictive maintenance, fraud detection, sensor network health, supply chain optimization, and energy management.","c3.ai inc. Enterprise AI Software Develops and markets software for building enterprise AI applications. Focus areas include predictive maintenance, fraud detection, sensor network health, supply chain optimization, and energy management.",Digital Infrastructure
741,howmet aerospace inc.,Engineered Structures,Produces titanium and aluminum structural components for aerospace and defense applications,howmet aerospace inc. Engineered Structures Produces titanium and aluminum structural components for aerospace and defense applications,Transport Solutions
1211,keycorp,Commercial Real Estate,Commercial real estate lending focuses on commercial real estate properties,keycorp Commercial Real Estate Commercial real estate lending focuses on commercial real estate properties,Not Applicable
2170,principal financial group inc.,Retirement and Income Solutions,"Provides retirement and income products, including annuities and mutual funds, to businesses and individuals.","principal financial group inc. Retirement and Income Solutions Provides retirement and income products, including annuities and mutual funds, to businesses and individuals.",Not Applicable
3411,kier group plc,Property,"Develops and sells commercial and residential properties across the UK. Activities include land acquisition, planning, construction and sales and marketing of completed developments.","kier group plc Property Develops and sells commercial and residential properties across the UK. Activities include land acquisition, planning, construction and sales and marketing of completed developments.",Not Applicable
4623,agenus inc.,Checkpoint Antibodies,"Develops antibodies designed to activate the immune system against cancer, such as INCAGN1876 and INCAGN2385","agenus inc. Checkpoint Antibodies Develops antibodies designed to activate the immune system against cancer, such as INCAGN1876 and INCAGN2385",Not Applicable
567,albany international corp.,Albany Engineered Composites,Provides composite parts and assemblies for both commercial and military aerospace applications,albany international corp. Albany Engineered Composites Provides composite parts and assemblies for both commercial and military aerospace applications,Alternative Energy
1873,movado group inc.,Leather Goods,Manufactures and distributes luxury leather accessories such as wallets and handbags under licensed brands,movado group inc. Leather Goods Manufactures and distributes luxury leather accessories such as wallets and handbags under licensed brands,Not Applicable
6325,emcor group inc.,Mechanical Services,"Provides HVAC, plumbing, piping, controls, and fire protection services for commercial, industrial, and institutional buildings.","emcor group inc. Mechanical Services Provides HVAC, plumbing, piping, controls, and fire protection services for commercial, industrial, and institutional buildings.",Water Infrastructure & Technologies
1717,braskem s.a.,Polyolefins,"Produces polyolefin resins like polyethylene, polypropylene and PVC","braskem s.a. Polyolefins Produces polyolefin resins like polyethylene, polypropylene and PVC",Not Applicable
1392,ammo inc.,Ammunition,Manufactures ammunition and ammunition components,ammo inc. Ammunition Manufactures ammunition and ammunition components,Water Infrastructure & Technologies
5271,albioma,Anaerobic Digestion,Operates anaerobic digestion facilities that convert organic waste into biogas and electricity. Located in mainland France.,albioma Anaerobic Digestion Operates anaerobic digestion facilities that convert organic waste into biogas and electricity. Located in mainland France.,Alternative Energy
5781,american tower corporation,REC Solar,"Provides solar power project solutions, including design, procurement, construction, operation, maintenance and financing.","american tower corporation REC Solar Provides solar power project solutions, including design, procurement, construction, operation, maintenance and financing.",Digital Infrastructure
489,veeva systems inc.,Cloud solutions for the life sciences industry,"Provides cloud-based software solutions for the life sciences industry, including solutions for content management, master data management, CRM, and analytics.","veeva systems inc. Cloud solutions for the life sciences industry Provides cloud-based software solutions for the life sciences industry, including solutions for content management, master data management, CRM, and analytics.",Digital Infrastructure
6061,caleres inc.,Specialty Retail,Operates retail stores for women's footwear brands including Naturalizer retail stores and Naturalizer Outlets.,caleres inc. Specialty Retail Operates retail stores for women's footwear brands including Naturalizer retail stores and Naturalizer Outlets.,Not Applicable
690,coinbase global inc.,Institutional,"Offers cryptocurrency custody, trade execution, financing, and reporting services for institutional investors","coinbase global inc. Institutional Offers cryptocurrency custody, trade execution, financing, and reporting services for institutional investors",Not Applicable
6247,brightsphere investment group inc.,Affiliates,Operates a diversified group of boutique asset management firms focused on serving individual and institutional investors.,brightsphere investment group inc. Affiliates Operates a diversified group of boutique asset management firms focused on serving individual and institutional investors.,Not Applicable
602,swiss steel holding ag,High Alloy Steels,"Produces corrosion resistant, heat resistant, and tool steels. Used in power generation, oil and gas, aerospace, and chemical processing industries.","swiss steel holding ag High Alloy Steels Produces corrosion resistant, heat resistant, and tool steels. Used in power generation, oil and gas, aerospace, and chemical processing industries.",Energy Management & Efficiency
1911,wienerberger ag,Clay Building Materials,"Bricks,Manufactures and sells clay blocks, facing bricks, roof tiles, ceramic pipes and pavers","wienerberger ag Clay Building Materials Bricks,Manufactures and sells clay blocks, facing bricks, roof tiles, ceramic pipes and pavers",Water Infrastructure & Technologies
4620,adma biologics inc.,Plasma Products,Manufactures and commercializes plasma-derived biologics,adma biologics inc. Plasma Products Manufactures and commercializes plasma-derived biologics,Not Applicable
4590,charles river laboratories international inc.,Manufacturing Support,"Provides testing services, biologic license applications, and batch-release services to biologic drug manufacturers","charles river laboratories international inc. Manufacturing Support Provides testing services, biologic license applications, and batch-release services to biologic drug manufacturers",Not Applicable
5078,acv auctions inc.,Data Services,"Offers data services and applications to customers through its SaaS platform. Includes inspection reports, condition reports, valuation tools, and more.","acv auctions inc. Data Services Offers data services and applications to customers through its SaaS platform. Includes inspection reports, condition reports, valuation tools, and more.",Not Applicable
2366,vera bradley inc.,Apparel,"Vera Bradley designs and markets comfortable, causal women's apparel including tops, sweaters, jackets, dresses, and pajamas","vera bradley inc. Apparel Vera Bradley designs and markets comfortable, causal women's apparel including tops, sweaters, jackets, dresses, and pajamas",Not Applicable
1187,porsche automobil holding se,Ã…Â koda,Manufactures and sells Ã…Â koda branded vehicles focused on affordability and practicality,porsche automobil holding se Ã…Â koda Manufactures and sells Ã…Â koda branded vehicles focused on affordability and practicality,Energy Management & Efficiency
274,advantech co. ltd.,Embedded Boards,Produces a wide range of embedded computing boards and modules to provide the core processing capabilities for customer devices and systems.,advantech co. ltd. Embedded Boards Produces a wide range of embedded computing boards and modules to provide the core processing capabilities for customer devices and systems.,Energy Management & Efficiency
4299,aci worldwide inc.,Digital Channels,"Provides digital banking and payment software solutions to financial institutions and retailers, enabling omni-channel digital banking services and payments","aci worldwide inc. Digital Channels Provides digital banking and payment software solutions to financial institutions and retailers, enabling omni-channel digital banking services and payments",Not Applicable
1361,s&p global inc.,S&P Global Ratings,"Provides credit ratings, research, and analytics services for financial markets","s&p global inc. S&P Global Ratings Provides credit ratings, research, and analytics services for financial markets",Not Applicable
5769,belden inc.,Industrial Solutions,"Offers cables, connectivity, and networking equipment for industrial automation, transportation, smart grid applications, and more.","belden inc. Industrial Solutions Offers cables, connectivity, and networking equipment for industrial automation, transportation, smart grid applications, and more.",Energy Management & Efficiency
1526,banco de chile,Investment Banking,"Offers services to help companies raise capital through stock and bond offerings, mergers and acquisitions advisory, derivatives trading, and more.","banco de chile Investment Banking Offers services to help companies raise capital through stock and bond offerings, mergers and acquisitions advisory, derivatives trading, and more.",Not Applicable
4374,capital one financial corporation,Mortgage Banking,"Originates first and second lien residential mortgage loans through three primary channels: retail, third-party, and correspondent production","capital one financial corporation Mortgage Banking Originates first and second lien residential mortgage loans through three primary channels: retail, third-party, and correspondent production",Not Applicable
4714,broadstone net lease inc.,Healthcare,Owns medical office buildings and hospitals that are rented to healthcare providers.,broadstone net lease inc. Healthcare Owns medical office buildings and hospitals that are rented to healthcare providers.,Not Applicable
5274,constellation software inc.,Public Sector,Provides software solutions for various government departments and agencies.,constellation software inc. Public Sector Provides software solutions for various government departments and agencies.,Digital Infrastructure
5368,accsys technologies plc,Chemicals,Manufacture and sale of acetic anhydride and vinegar. The acetic anhydride is sold to producers of acetate tow used in cigarette filters.,accsys technologies plc Chemicals Manufacture and sale of acetic anhydride and vinegar. The acetic anhydride is sold to producers of acetate tow used in cigarette filters.,Environmental Services & Resources
4525,nuvasive inc.,Biologics,Offers a portfolio of allograft bone grafts for spinal and orthopedic procedures. This includes traditional allografts as well as synthetically enhanced and stem cell-based allografts.,nuvasive inc. Biologics Offers a portfolio of allograft bone grafts for spinal and orthopedic procedures. This includes traditional allografts as well as synthetically enhanced and stem cell-based allografts.,Not Applicable
6371,assetmark financial holdings inc.,Retirement Plan Services,Offers retirement plan services and administration for employer-sponsored retirement plans,assetmark financial holdings inc. Retirement Plan Services Offers retirement plan services and administration for employer-sponsored retirement plans,Not Applicable
4671,teradyne inc.,Semiconductor Test,Provides semiconductor test equipment and services,teradyne inc. Semiconductor Test Provides semiconductor test equipment and services,Digital Infrastructure
945,amgen inc.,Oncology,"Develops and commercializes medicines for treating cancer, including malignancies like lymphomas and leukemias. Key drugs are Neulasta, Neupogen, Vectibix, Nplate, XGEVA, and BLINCYTO.","amgen inc. Oncology Develops and commercializes medicines for treating cancer, including malignancies like lymphomas and leukemias. Key drugs are Neulasta, Neupogen, Vectibix, Nplate, XGEVA, and BLINCYTO.",Not Applicable
5329,chorus aviation inc.,Regional Aviation Services,Operates regional aircraft on behalf of Air Canada under the Air Canada Express brand. Provides fleet of turboprop and jet aircraft.,chorus aviation inc. Regional Aviation Services Operates regional aircraft on behalf of Air Canada under the Air Canada Express brand. Provides fleet of turboprop and jet aircraft.,Not Applicable
2250,taylor wimpey plc,Land Development,Strategic land acquisition and promotion for future housing sites,taylor wimpey plc Land Development Strategic land acquisition and promotion for future housing sites,Energy Management & Efficiency
3509,motorola solutions inc.,Services,"Provides integration services, managed & support services, and other service offerings for companies' communications systems and networks, including consulting, implementation and integration of networks, devices, security, applications and communications management.","motorola solutions inc. Services Provides integration services, managed & support services, and other service offerings for companies' communications systems and networks, including consulting, implementation and integration of networks, devices, security, applications and communications management.",Digital Infrastructure
3210,nautilus inc.,Fitness equipment,"Manufactures and markets fitness equipment under brands like Bowflex, Schwinn Fitness, and Nautilus. Products include treadmills, elliptical machines, indoor cycling bikes, strength training equipment, etc.","nautilus inc. Fitness equipment Manufactures and markets fitness equipment under brands like Bowflex, Schwinn Fitness, and Nautilus. Products include treadmills, elliptical machines, indoor cycling bikes, strength training equipment, etc.",Not Applicable
4950,the andersons inc.,Ethanol Group,"Owns and operates ethanol plants that produce ethanol, distillers grains, and corn oil","the andersons inc. Ethanol Group Owns and operates ethanol plants that produce ethanol, distillers grains, and corn oil",Alternative Energy
2346,the howard hughes corporation,Strategic Developments,Manages the development of condominium and for-sale properties,the howard hughes corporation Strategic Developments Manages the development of condominium and for-sale properties,Not Applicable
68,rinnai corporation,Kitchen Appliances,"Manufactures kitchen appliances like cooktops, range hoods and rice cookers","rinnai corporation Kitchen Appliances Manufactures kitchen appliances like cooktops, range hoods and rice cookers",Sustainable Food & Agriculture
4961,51job inc.,Print Advertising,Publishes and sells print advertising on its websites and in its print publications,51job inc. Print Advertising Publishes and sells print advertising on its websites and in its print publications,Not Applicable
5048,bausch health companies inc.,Salix,Gastrointestinal products and other specialty pharmaceuticals,bausch health companies inc. Salix Gastrointestinal products and other specialty pharmaceuticals,Not Applicable
1598,weatherford international plc,Managed Pressure Drilling,Provides managed pressure drilling services and related equipment. Enables improved control of wellbore pressures during drilling operations.,weatherford international plc Managed Pressure Drilling Provides managed pressure drilling services and related equipment. Enables improved control of wellbore pressures during drilling operations.,Not Applicable
3755,post holdings inc.,Foodservice,Produces and sells egg and potato products to the foodservice channels.,post holdings inc. Foodservice Produces and sells egg and potato products to the foodservice channels.,Not Applicable
3842,pt united tractors tbk,Mining contracting,"Provides mining services through subsidiaries - contract coal mining, coal hauling, mine design, exploration.","pt united tractors tbk Mining contracting Provides mining services through subsidiaries - contract coal mining, coal hauling, mine design, exploration.",Resource Efficiency & Waste Management
6525,clearpoint neuro inc.,Services,"Provides installation, maintenance, and training services for ClearPoint Neuro navigation systems.","clearpoint neuro inc. Services Provides installation, maintenance, and training services for ClearPoint Neuro navigation systems.",Not Applicable
1503,alleghany corporation,Precision Manufacturing,"Manufactures and distributes engineered metal components for the aerospace, power generation and specialty equipment markets.","alleghany corporation Precision Manufacturing Manufactures and distributes engineered metal components for the aerospace, power generation and specialty equipment markets.",Energy Management & Efficiency
6641,aerovironment inc.,Unmanned Aircraft Systems,"Develops, produces, supports and operates small UAS for intelligence, surveillance and reconnaissance","aerovironment inc. Unmanned Aircraft Systems Develops, produces, supports and operates small UAS for intelligence, surveillance and reconnaissance",Transport Solutions
150,at&t inc.,WarnerMedia,"AT&T's WarnerMedia segment develops, produces and distributes feature films, television, gaming and other content over various physical and digital formats.","at&t inc. WarnerMedia AT&T's WarnerMedia segment develops, produces and distributes feature films, television, gaming and other content over various physical and digital formats.",Not Applicable
6474,camping world holdings inc.,RV Services,"Provides repair, maintenance, and parts for RVs, offers roadside assistance, vehicle protection plans, extended service plans, and RV storage","camping world holdings inc. RV Services Provides repair, maintenance, and parts for RVs, offers roadside assistance, vehicle protection plans, extended service plans, and RV storage",Transport Solutions
2086,world wrestling entertainment inc.,WWE Network,Direct-to-consumer digital over-the-top subscription service providing access to streaming video-on-demand content.,world wrestling entertainment inc. WWE Network Direct-to-consumer digital over-the-top subscription service providing access to streaming video-on-demand content.,Not Applicable
6174,bakkavor group plc,Pizza & Bread,"Makes pizza, breads, morning goods for retail and foodservice clients","bakkavor group plc Pizza & Bread Makes pizza, breads, morning goods for retail and foodservice clients",Not Applicable
2259,vossloh ag,Lifecycle Solutions,Offers integrated services for the maintenance and renewal of rail infrastructure,vossloh ag Lifecycle Solutions Offers integrated services for the maintenance and renewal of rail infrastructure,Transport Solutions
2815,bluegreen vacations holding corporation,Exchange Networks,Provides access to vacation exchange networks and rental programs for VOIs.,bluegreen vacations holding corporation Exchange Networks Provides access to vacation exchange networks and rental programs for VOIs.,Not Applicable
4546,catalyst pharmaceuticals inc.,License Agreements,"Catalyst licenses rights to Firdapse in Japan to a partner and also has license agreements for Latin America, Canada, and other regions.","catalyst pharmaceuticals inc. License Agreements Catalyst licenses rights to Firdapse in Japan to a partner and also has license agreements for Latin America, Canada, and other regions.",Not Applicable
5223,public storage,Equity in PSB,"Holds a 41% common equity interest in Shurgard Self Storage SA, which owns and operates self-storage facilities primarily in Europe.","public storage Equity in PSB Holds a 41% common equity interest in Shurgard Self Storage SA, which owns and operates self-storage facilities primarily in Europe.",Not Applicable
2622,verbio vereinigte bioenergie ag,Food and feed products,Production and sale of food and animal feed from by-products of biofuel production,verbio vereinigte bioenergie ag Food and feed products Production and sale of food and animal feed from by-products of biofuel production,Sustainable Food & Agriculture
859,orion group holdings inc.,Concrete,"Orion manufactures and distributes ready-mix concrete through subsidiary Central Concrete Supply Co., Inc. and serves customers in Texas and Virginia.","orion group holdings inc. Concrete Orion manufactures and distributes ready-mix concrete through subsidiary Central Concrete Supply Co., Inc. and serves customers in Texas and Virginia.",Transport Solutions
4449,chindata group holdings limited,Managed services,"Offers managed services including hosting, network management, security, storage and backup services","chindata group holdings limited Managed services Offers managed services including hosting, network management, security, storage and backup services",Not Applicable
2510,fox corporation,Other Operations,"Consists of the FOX Studios lot in Los Angeles, Credible Labs Inc. and other ancillary businesses.","fox corporation Other Operations Consists of the FOX Studios lot in Los Angeles, Credible Labs Inc. and other ancillary businesses.",Not Applicable
4001,arcbest corporation,Truckload shipping,"Provides full truckload shipping services for customers with large, single shipments that require an entire trailer.","arcbest corporation Truckload shipping Provides full truckload shipping services for customers with large, single shipments that require an entire trailer.",Not Applicable
3861,mvv energie ag,Generation and Infrastructure,Operates power plants and energy grids in Germany,mvv energie ag Generation and Infrastructure Operates power plants and energy grids in Germany,Alternative Energy
366,angi inc.,HomeAdvisor,"Online marketplace that connects homeowners with home service professionals for home repair, maintenance and improvement projects","angi inc. HomeAdvisor Online marketplace that connects homeowners with home service professionals for home repair, maintenance and improvement projects",Not Applicable
1432,toromont industries ltd.,Battlefield Equipment Rentals,"Rents specialized mobile equipment to the construction, infrastructure, mining, power, natural resource and petrochemical industries","toromont industries ltd. Battlefield Equipment Rentals Rents specialized mobile equipment to the construction, infrastructure, mining, power, natural resource and petrochemical industries",Resource Efficiency & Waste Management
4739,csg systems international inc.,Customer Interaction Management,Provides customer engagement software and services.,csg systems international inc. Customer Interaction Management Provides customer engagement software and services.,Not Applicable
1779,oppenheimer holdings inc.,Wealth Management,"Provides high net worth individuals, families, business owners, and corporate executives with wealth management solutions including investment management, financial planning, trust services, and lending solutions.","oppenheimer holdings inc. Wealth Management Provides high net worth individuals, families, business owners, and corporate executives with wealth management solutions including investment management, financial planning, trust services, and lending solutions.",Not Applicable
4118,cal-maine foods inc.,Egg Products,"Produces and distributes egg products, including liquid, frozen and dried eggs","cal-maine foods inc. Egg Products Produces and distributes egg products, including liquid, frozen and dried eggs",Sustainable Food & Agriculture
3012,5n plus inc.,Security & Detection,"Provides infrared materials, substrates and detectors for security, defense, medical and industrial applications.","5n plus inc. Security & Detection Provides infrared materials, substrates and detectors for security, defense, medical and industrial applications.",Energy Management & Efficiency
1818,commvault systems inc.,Cloud Data Management,"Delivers cloud-based data protection as a service, providing backup and recovery solutions for cloud-based workloads.","commvault systems inc. Cloud Data Management Delivers cloud-based data protection as a service, providing backup and recovery solutions for cloud-based workloads.",Digital Infrastructure
4318,accenture plc,Consulting,"Provides management consulting, technology consulting, and outsourcing services globally.","accenture plc Consulting Provides management consulting, technology consulting, and outsourcing services globally.",Not Applicable
841,deluxe corporation,Retail,"Operates a chain of retail stores selling apparel, accessories, home furnishings, and groceries across the United States.","deluxe corporation Retail Operates a chain of retail stores selling apparel, accessories, home furnishings, and groceries across the United States.",Not Applicable
1189,first quantum minerals ltd.,Copper mining and production,"Operates mines and develops copper projects in Africa, Europe, and Americas. Mines copper, gold, nickel, and zinc.","first quantum minerals ltd. Copper mining and production Operates mines and develops copper projects in Africa, Europe, and Americas. Mines copper, gold, nickel, and zinc.",Resource Efficiency & Waste Management
175,wacker chemie ag,Biosolutions,"Offers pharmaceutical proteins, cyclodextrins, cysteine, and polymer dispersions for pharmaceutical and life science applications.","wacker chemie ag Biosolutions Offers pharmaceutical proteins, cyclodextrins, cysteine, and polymer dispersions for pharmaceutical and life science applications.",Not Applicable
3407,ladder capital corp,Conduit and Fannie Mae Loans,Originated conduit first mortgage loans and Fannie Mae loans secured by multifamily properties and healthcare facilities,ladder capital corp Conduit and Fannie Mae Loans Originated conduit first mortgage loans and Fannie Mae loans secured by multifamily properties and healthcare facilities,Not Applicable
617,dbs group holdings ltd,Institutional Banking,"Services including corporate banking, financial institutions, investment banking, securities brokerage","dbs group holdings ltd Institutional Banking Services including corporate banking, financial institutions, investment banking, securities brokerage",Not Applicable
2093,altice usa inc.,Altice Technical Services,Provides technical services for the GroupÃ¢Â€Â™s various telecommunication operators.,altice usa inc. Altice Technical Services Provides technical services for the GroupÃ¢Â€Â™s various telecommunication operators.,Not Applicable
2732,green plains inc.,Partnership,Owns a 49% limited partner interest and a 2% general partner interest in Green Plains Partners LP.,green plains inc. Partnership Owns a 49% limited partner interest and a 2% general partner interest in Green Plains Partners LP.,Not Applicable
